slice_id,slice_type,timestamp,throughput_mbps,latency_ms,capacity_mbps,utilization,spike_label
slice-aitrain-01,AI_TRAINING,2026-09-04 13:06:04.961545+00:00,352.46,6.78,1000.0,0.3215,
slice-aitrain-01,AI_TRAINING,2026-09-04 13:11:04.961545+00:00,252.43,6.24,1000.0,0.3217,
slice-aitrain-01,AI_TRAINING,2026-09-04 13:16:04.961545+00:00,359.96,6.88,1000.0,0.3219,
slice-aitrain-01,AI_TRAINING,2026-09-04 13:21:04.961545+00:00,332.44,7.09,1000.0,0.3221,
slice-aitrain-01,AI_TRAINING,2026-09-04 13:26:04.961545+00:00,387.61,6.95,1000.0,0.3223,
slice-aitrain-01,AI_TRAINING,2026-09-04 13:31:04.961545+00:00,339.94,6.44,1000.0,0.3224,
slice-aitrain-01,AI_TRAINING,2026-09-04 13:36:04.961545+00:00,350.36,6.52,1000.0,0.3226,
slice-aitrain-01,AI_TRAINING,2026-09-04 13:41:04.961545+00:00,193.63,6.51,1000.0,0.3227,
slice-aitrain-01,AI_TRAINING,2026-09-04 13:46:04.961545+00:00,394.39,5.75,1000.0,0.3228,
slice-aitrain-01,AI_TRAINING,2026-09-04 13:51:04.961545+00:00,234.06,6.65,1000.0,0.3228,
slice-aitrain-01,AI_TRAINING,2026-09-04 13:56:04.961545+00:00,371.94,6.77,1000.0,0.3229,
slice-aitrain-01,AI_TRAINING,2026-09-04 14:01:04.961545+00:00,335.83,6.47,1000.0,0.323,
slice-aitrain-01,AI_TRAINING,2026-09-04 14:06:04.961545+00:00,274.43,6.94,1000.0,0.323,
slice-aitrain-01,AI_TRAINING,2026-09-04 14:11:04.961545+00:00,277.22,7.08,1000.0,0.323,
slice-aitrain-01,AI_TRAINING,2026-09-04 14:16:04.961545+00:00,290.2,6.49,1000.0,0.323,
slice-aitrain-01,AI_TRAINING,2026-09-04 14:21:04.961545+00:00,449.49,7.12,1000.0,0.323,
slice-aitrain-01,AI_TRAINING,2026-09-04 14:26:04.961545+00:00,327.56,6.66,1000.0,0.323,
slice-aitrain-01,AI_TRAINING,2026-09-04 14:31:04.961545+00:00,276.97,7.01,1000.0,0.3229,
slice-aitrain-01,AI_TRAINING,2026-09-04 14:36:04.961545+00:00,299.74,6.79,1000.0,0.3228,
